kepid,tce_plnt_num,tce_rogue_flag,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_depth,tce_depth_err,tce_model_snr,tce_prad,tce_prad_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_sradius,tce_sradius_err
5558379,3,,2.49815,2.08736e-05,132.68,0.00468581,0.3058,7.963,4.904,0.8353,46.16,4.508,10.91,0.7759,0.3773,1610.0,411.0,,,6689.0,212.0,4.39,0.32,1.123,0.569
7658578,1,,1.13035,2.98261e-06,131.965,0.00106177,0.7001,0.6978,3.013,0.5895,71.02,2.635,35.63,1.322,0.2252,2340.0,654.0,,,6625.0,276.0,4.2,0.31,1.465,0.809
8643851,3,,5.53615,5.36299e-05,132.914,0.0104668,0.3323,8.636,4.736,0.358,97.12,13.03,8.35,2.366,1.526,1630.0,415.0,,,6054.0,198.0,3.74,0.5,2.37,1.198
12254688,1,,62.6823,0.000264047,182.231,0.00298978,0.651,2.007,1.605,0.2203,318.5,22.21,16.4,2.986,1.134,678.0,169.0,,,7051.0,255.0,4.13,0.27,1.574,0.777
10470206,1,,46.5667,8.50736e-05,149.745,0.0014962,0.7869,0.04437,7.695,0.1269,1327.0,15.18,86.77,6.481,0.116,708.0,186.0,,,6629.0,277.0,4.13,0.29,1.619,0.838
9221517,1,,0.769843,4.35067e-06,131.755,0.000828688,0.1,29.67,1.257,0.137,80.52,4.778,24.32,0.7182,0.603,1650.0,195.0,,,5178.0,172.0,4.56,0.15,0.818,0.186
6447258,1,,5.543,0.000102914,133.431,0.013948,0.9276,0.04856,13.51,2.52,35.58,4.675,7.482,1.092,0.09438,1520.0,378.0,,,7126.0,276.0,4.15,0.27,1.541,0.756
9341241,2,,44.227,0.00300822,147.761,0.00898776,0.4492,39.15,1.679,3.491,3960.0,2073.0,48.02,955.5,9749.0,3590.0,419.0,,,3260.0,117.0,0.08,0.25,155.7,34.56
8494410,2,,7.25933,2.42344e-05,131.71,0.0026091,0.157,19.36,6.196,0.2769,259.2,7.141,35.9,1.585,1.042,967.0,181.0,,,5914.0,169.0,4.42,0.26,0.987,0.365
10082556,1,,459.293,0.00667293,260.262,0.00928668,0.7929,0.7334,4.127,1.038,965.0,146.8,9.449,4.394,1.413,288.0,91.3,,,6535.0,285.0,4.35,0.36,1.283,0.805
3644128,1,,0.892261,1.28122e-05,131.778,0.00324338,0.2449,13.31,2.012,0.6122,16.52,2.797,7.821,0.5664,0.3532,2500.0,846.0,,,6888.0,236.0,4.31,0.39,1.372,0.925
4366913,1,,1.11528,4.70439e-06,131.522,0.00121017,0.3084,5.343,2.527,0.3483,121.5,7.633,19.92,4.191,1.456,4040.0,857.0,,,7693.0,303.0,3.59,0.36,3.751,1.564
6224312,2,,0.860943,9.19981e-06,131.59,0.00217176,0.2856,8.678,3.421,2.469,126.2,13.37,12.43,1.837,0.8454,2820.0,904.0,,,7131.0,330.0,4.18,0.36,1.604,1.016
5264304,1,,120.582,1.44237e-05,248.239,0.00010157,0.7221,0.02049,8.302,0.005304,197100.0,150.3,1590.0,37.13,0.8794,295.0,30.2,,,5301.0,205.0,4.63,0.11,0.685,0.13
10593535,1,,20.9255,0.000210512,134.893,0.00846864,0.8837,0.3514,6.718,0.8268,111.7,8.075,13.84,1.497,0.4399,730.0,66.1,,,5821.0,124.0,4.28,0.12,1.21,0.213
3458919,1,,0.892084,5.03094e-06,131.805,0.000686018,0.9192,0.05723,1.219,0.1329,2623.0,224.8,42.2,5.423,0.6075,1720.0,363.0,,,5561.0,172.0,4.51,0.27,0.855,0.356
7033233,1,,2.03231,4.8015e-06,132.646,0.00091335,0.1523,15.5,1.185,0.05266,251.3,15.69,22.31,1.082,0.8489,1020.0,37.9,,,4658.0,98.0,4.62,0.04,0.704,0.043
9661869,2,,20.4258,0.000280116,147.468,0.0150309,0.4386,13.06,2.02,1.151,1477.0,157.7,10.09,4.408,6.323,749.0,188.0,,,6167.0,231.0,4.35,0.3,1.121,0.556
6277594,1,,3.66103,8.71061e-05,133.79,0.0188907,0.9862,0.004873,5.339,0.5165,27.68,2.234,12.59,0.7911,0.04106,1350.0,349.0,,,6354.0,198.0,4.38,0.3,1.102,0.565
10881855,2,,0.740764,7.49943e-06,132.281,0.00301582,0.6387,3.406,3.353,6.848,59.51,4.924,15.61,1.352,0.8282,2970.0,1180.0,,,7125.0,287.0,4.19,0.43,1.657,1.31
9650501,3,,1.38435,1.54023e-05,131.894,0.00234665,0.4985,5.28,1.84,0.1399,489.9,93.74,6.51,8.753,5.411,3680.0,676.0,,,7526.0,298.0,3.59,0.28,3.809,1.366
6289468,4,,0.616836,1.23978e-05,131.555,0.00281283,0.4937,3.88,2.05,1.204,57.89,9.555,9.932,5.119,2.304,6450.0,1200.0,,,8173.0,193.0,3.28,0.32,6.492,2.396
10002897,3,,0.560613,1.28172e-05,131.532,0.00320724,0.01311,464.4,2.757,6.665,70.46,10.78,11.05,2.412,2.533,4570.0,929.0,,,7709.0,302.0,3.75,0.34,2.839,1.131
5008954,3,,2.34145,1.91961e-05,133.431,0.00371423,0.01501,317.7,5.183,1.844,37.96,4.769,9.769,1.312,1.056,2310.0,562.0,,,7254.0,324.0,4.0,0.28,2.103,1.008
7630417,1,,1.13054,1.21495e-05,131.79,0.00195592,0.02222,115.0,3.345,1.139,82.4,12.78,8.201,2.117,0.7258,4090.0,974.0,,,10514.0,359.0,4.14,0.27,2.268,1.069
9210823,1,,0.828194,1.90557e-06,131.589,0.000359115,0.9063,0.09991,1.537,0.13,135.1,3.503,53.53,2.255,0.228,2480.0,529.0,,,5826.0,153.0,4.03,0.31,1.624,0.688
7778980,3,,0.62294,7.48589e-05,131.933,0.0112803,0.1,214.3,1.5,2.502,143.0,104.6,4.731,4.44,17.41,4840.0,829.0,,,7700.0,300.0,3.62,0.26,3.67,1.225
4726268,1,,0.841396,8.06162e-06,131.914,0.00534349,0.905,0.06837,2.951,0.8484,196.4,9.378,20.43,2.269,0.1372,2580.0,620.0,,,6728.0,234.0,4.22,0.27,1.385,0.658
3858919,2,,25.9537,0.000588614,154.843,0.0202355,0.6796,1.513,11.1,1.606,546.2,48.81,11.48,2.161,0.9542,569.0,105.0,,,5695.0,186.0,4.54,0.26,0.872,0.317
5201756,2,,0.586315,2.05292e-05,131.858,0.00536397,0.05696,196.4,2.675,10.49,24.06,5.619,6.019,0.4858,1.227,2180.0,0.0254,,,5780.0,0.0,4.44,0.0,1.0,0.0
9716107,1,,3.69324,2.79606e-05,133.042,0.00376195,0.3,6.839,12.36,5.358,62.29,14.09,4.637,2.815,1.109,2600.0,452.0,,,7677.0,303.0,3.66,0.27,3.503,1.188
7840035,2,,13.5419,9.02366e-05,133.184,0.00741407,0.9595,0.06365,4.831,0.1941,4673.0,153.7,36.34,9.31,3.468,727.0,167.0,,,5496.0,204.0,4.41,0.29,0.927,0.421
3109930,1,,37.8103,0.000218922,158.357,0.0046584,0.2287,13.82,8.654,1.21,564.8,19.43,30.36,2.323,1.554,566.0,110.0,,,6085.0,187.0,4.45,0.28,0.973,0.373
4667989,1,,2.11701,1.584e-05,132.578,0.00358394,0.00208,1386.0,4.318,0.8025,31.92,3.475,10.0,0.7939,0.4238,1860.0,503.0,,,6674.0,238.0,4.25,0.31,1.396,0.747
5942808,2,,0.626283,3.44146e-06,131.904,0.000544202,0.1,16.06,1.164,0.06638,426.0,20.83,34.31,1.653,0.8232,1710.0,725.0,,,4922.0,195.0,4.5,0.65,0.823,0.694
